sample_name,expt_sand_number,test_type,water_content,coarse_name,coarse_size,max_particle_size,coarse_pct,clay_name,mix_date,test_date,clay_only_water_content,predicted_water_content,linear_law_deviation,upper_mm,lower_mm,d50
2,2,AL,0.11180935104358913,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.24534271995741716,0.09813708798296687,0.013672263060622261,1.0,0.5,0.72
2,2,LL,0.1853204385938643,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.42925823965347765,0.17170329586139108,0.01361714273247322,1.0,0.5,0.72
2,2,PL,0.08913503579113173,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.17387663649580326,0.06955065459832131,0.01958438119281042,1.0,0.5,0.72
7,2,AL,0.1546035449413417,Mancino_angular,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10,0.24534271995741716,0.1472056319744503,0.007397912966891407,1.0,0.5,0.72
7,2,LL,0.2554560270397711,Mancino_angular,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10,0.42925823965347765,0.2575549437920866,-0.002098916752315494,1.0,0.5,0.72
7,2,PL,0.11539833332895204,Mancino_angular,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-04-08,2020-04-10,0.17387663649580326,0.10432598189748195,0.01107235143147009,1.0,0.5,0.72
12,2,AL,0.1722899583614408,Mancino_angular,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18,0.24534271995741716,0.19627417596593374,-0.023984217604492958,1.0,0.5,0.72
12,2,LL,0.33503031689782,Mancino_angular,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18,0.42925823965347765,0.34340659172278215,-0.008376274824962171,1.0,0.5,0.72
12,2,PL,0.14608344471130927,Mancino_angular,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-04-15,2020-04-18,0.17387663649580326,0.13910130919664263,0.006982135514666643,1.0,0.5,0.72
17,2,AL,-,Mancino_angular,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24,0.24534271995741716,0.04906854399148342,-,1.0,0.5,0.72
17,2,LL,-,Mancino_angular,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24,0.42925823965347765,0.08585164793069551,-,1.0,0.5,0.72
17,2,PL,-,Mancino_angular,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-04-21,2020-04-24,0.17387663649580326,0.03477532729916064,-,1.0,0.5,0.72
22,2,AL,0.08052466850768447,Mancino_angular,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28,0.24534271995741716,0.07360281598722516,0.006921852520459307,1.0,0.5,0.72
22,2,LL,0.1496638769043802,Mancino_angular,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28,0.42925823965347765,0.1287774718960433,0.02088640500833691,1.0,0.5,0.72
22,2,PL,0.07567919680439064,Mancino_angular,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-04-25,2020-04-28,0.17387663649580326,0.05216299094874099,0.023516205855649654,1.0,0.5,0.72
27,2,AL,0.06282947363511827,Mancino_angular,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02,0.24534271995741716,0.06133567998935429,0.0014937936457639842,1.0,0.5,0.72
27,2,LL,0.13742821039672473,Mancino_angular,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02,0.42925823965347765,0.10731455991336941,0.03011365048335532,1.0,0.5,0.72
27,2,PL,-,Mancino_angular,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-04-30,2020-05-02,0.17387663649580326,0.043469159123950815,-,1.0,0.5,0.72
38,2,AL,0.24534271995741716,Mancino_angular,1.0-0.5,1,0,Fireborn_Porcelain,2020-04-25,2020-04-28,0.24534271995741716,0.24534271995741716,0,1.0,0.5,0.72
38,2,LL,0.42925823965347765,Mancino_angular,1.0-0.5,1,0,Fireborn_Porcelain,2020-04-25,2020-04-28,0.42925823965347765,0.42925823965347765,0,1.0,0.5,0.72
38,2,PL,0.17387663649580326,Mancino_angular,1.0-0.5,1,0,Fireborn_Porcelain,2020-04-25,2020-04-28,0.17387663649580326,0.17387663649580326,0,1.0,0.5,0.72
31,2,AL,0.1839498815334141,Granusil_4095,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.19627417596593374,-0.012324294432519645,1.0,0.5,0.72
31,2,LL,0.34395582363797333,Granusil_4095,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.34340659172278215,5.49231915191184e-4,1.0,0.5,0.72
31,2,PL,0.1485809131710306,Granusil_4095,1.0-0.5,1,0.2,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.13910130919664263,0.009479603974387962,1.0,0.5,0.72
32,2,AL,0.13006981258167408,Granusil_4095,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.1472056319744503,-0.017135819392776225,1.0,0.5,0.72
32,2,LL,0.2545098768876576,Granusil_4095,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.2575549437920866,-0.003045066904429017,1.0,0.5,0.72
32,2,PL,0.11406925574395857,Granusil_4095,1.0-0.5,1,0.4,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.10432598189748195,0.009743273846476622,1.0,0.5,0.72
33,2,AL,0.10041359442935673,Granusil_4095,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.09813708798296687,0.0022765064463898532,1.0,0.5,0.72
33,2,LL,0.17509169326744645,Granusil_4095,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.17170329586139108,0.003388397406055371,1.0,0.5,0.72
33,2,PL,0.08501018199136037,Granusil_4095,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.06955065459832131,0.01545952739303906,1.0,0.5,0.72
34,2,AL,0.09312968260495097,Granusil_4095,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.07360281598722516,0.019526866617725805,1.0,0.5,0.72
34,2,LL,0.14455910272767708,Granusil_4095,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.1287774718960433,0.01578163083163378,1.0,0.5,0.72
34,2,PL,0.07219864005068104,Granusil_4095,1.0-0.5,1,0.7,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.05216299094874099,0.02003564910194005,1.0,0.5,0.72
35,2,AL,0.07596646340751659,Granusil_4095,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.06133567998935429,0.014630783418162298,1.0,0.5,0.72
35,2,LL,0.1315946151292924,Granusil_4095,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.10731455991336941,0.024280055215922997,1.0,0.5,0.72
35,2,PL,-,Granusil_4095,1.0-0.5,1,0.75,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.043469159123950815,-,1.0,0.5,0.72
36,2,AL,-,Granusil_4095,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.04906854399148342,-,1.0,0.5,0.72
36,2,LL,-,Granusil_4095,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.08585164793069551,-,1.0,0.5,0.72
36,2,PL,-,Granusil_4095,1.0-0.5,1,0.8,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.03477532729916064,-,1.0,0.5,0.72
42,2,AL,0.24534271995741716,Granusil_4095,1.0-0.5,1,0,Fireborn_Porcelain,2020-05-01,2020-05-10,0.24534271995741716,0.24534271995741716,0,1.0,0.5,0.72
42,2,LL,0.42925823965347765,Granusil_4095,1.0-0.5,1,0,Fireborn_Porcelain,2020-05-01,2020-05-10,0.42925823965347765,0.42925823965347765,0,1.0,0.5,0.72
42,2,PL,0.17387663649580326,Granusil_4095,1.0-0.5,1,0,Fireborn_Porcelain,2020-05-01,2020-05-10,0.17387663649580326,0.17387663649580326,0,1.0,0.5,0.72
